factor_name,factor_type,ic_mean,ic_std,etf_count,sig_ratio,ic_sharpe
donghai_money_flow_5,moneyflow,0.1123,0.0364,13,1.0,-0.1377
WQAlpha1,worldquant,0.1028,0.0529,13,1.0,-0.0701
WQAlpha4,worldquant,0.0622,0.059,13,0.5385,0.5976
momentum_factor,momentum,0.0569,0.0525,13,0.7692,-0.4862
trend_score,trend,0.0188,0.0433,13,0.4615,-0.5565
volume_ratio,volume,0.0037,0.0767,13,0.8462,-0.1574
fangzheng_vol_price_corr,vp,0.0,0.0,13,0.0,0.0
rev_10,reversal,-0.0458,0.0415,13,0.9231,0.4955
price_reversal,reversal,-0.0673,0.06,13,0.6923,0.3845
rev_5,reversal,-0.0674,0.0576,13,0.6154,0.4086
